Població de 2 anys i més segons coneixement del català
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
.. Informació no disponible. Vegeu metodologia.

"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
 
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=17&by=mun
Codi,Literal,L'entén,El sap parlar,El sap llegir,El sap escriure,No l'entén,Població de 2 anys i més
251180,Juncosa,446,413,407,246,..,452,
251193,Juneda,3275,2749,2695,2171,..,3324,
251214,Les,935,613,669,477,65,1000,
251229,Linyola,2518,2221,2284,1757,..,2573,
081043,"Llacuna, la",887,796,801,617,..,895,
170887,Lladó,697,626,610,483,..,703,
251235,Lladorre,239,221,223,180,0,239,
251240,Lladurs,185,176,173,143,0,185,
081056,"Llagosta, la",12366,8109,9322,5973,919,13285,
170890,Llagostera,7504,6510,6600,5182,272,7776,
170904,Llambilles,696,674,665,554,..,698,
170911,Llanars,539,527,512,407,0,539,
170926,Llançà,4840,3968,4147,3047,140,4980,
251253,Llardecans,493,457,462,324,..,501,
251266,Llavorsí,340,323,322,230,0,340,
251207,Lleida,126697,100284,106331,77491,6690,133387,
170932,Llers,1138,1010,1041,771,..,1154,
251272,Lles de Cerdanya,255,246,248,186,..,258,
081075,Lliçà d'Amunt,13682,10432,11088,7861,541,14223,
081081,Lliçà de Vall,6120,4710,5133,3516,150,6270,
251288,Llimiana,177,162,165,119,0,177,
081069,Llinars del Vallès,8711,6863,7302,5239,403,9114,
170947,Llívia,1608,1160,1279,852,0,1608,
430727,"Lloar, el",112,108,106,83,0,112,
251291,Llobera,205,203,199,179,0,205,
430733,Llorac,110,105,109,94,0,110,
430748,Llorenç del Penedès,2093,1881,1849,1428,..,2158,
170950,Lloret de Mar,34646,21870,24035,16847,3496,38143,
170963,"Llosses, les",219,198,199,167,0,219,
081094,Lluçà,246,232,226,192,0,246,
171024,Maçanet de Cabrenys,733,641,639,457,0,733,
171030,Maçanet de la Selva,6728,5211,5501,4342,283,7011,
170979,Madremanya,256,230,229,178,0,256,
170985,Maià de Montcal,405,337,334,260,..,420,
251333,Maials,949,834,838,519,..,962,
251305,Maldà,227,201,194,149,0,227,
081108,Malgrat de Mar,16890,13281,14053,9903,901,17791,
081115,Malla,259,258,250,222,0,259,
081120,Manlleu,18485,15472,15967,12520,860,19345,
081136,Manresa,69306,57836,60900,46262,3935,73241,
430764,Marçà,631,593,597,472,0,631,
430751,Margalef,110,105,106,66,..,111,
082423,Marganell,268,209,237,172,0,268,
081141,Martorell,24539,18316,19588,13907,2095,26635,
081154,Martorelles,4608,3643,3778,2589,161,4769,
430770,Mas de Barberans,632,541,519,313,..,633,
171002,Masarac,279,249,250,165,0,279,
430786,Masdenverge,1077,911,928,702,..,1102,
081167,"Masies de Roda, les",754,696,705,548,0,754,
081173,"Masies de Voltregà, les",3072,2827,2827,2313,..,3078,
430799,Masllorenç,484,423,456,319,..,502,
081189,"Masnou, el",21096,18413,18588,14508,621,21717,
430803,"Masó, la",294,275,263,208,0,294,
430810,Maspujols,714,646,662,559,..,716,
081192,Masquefa,7965,6300,6679,4580,211,8176,
430825,"Masroig, el",538,488,482,342,..,551,
251312,Massalcoreig,544,503,485,344,..,555,
171019,Massanes,675,529,564,433,..,700,
251327,Massoteres,195,182,185,130,0,195,
081206,Matadepera,8373,8069,7870,6944,..,8405,
081213,Mataró,112709,83585,91346,65745,7119,119828,
081228,Mediona,2158,1890,1894,1413,..,2178,
251348,Menàrguens,813,703,681,468,..,867,
170998,Meranges,90,84,84,51,0,90,
171058,Mieres,316,300,294,251,..,322,
430831,"Milà, el",169,148,148,105,..,172,
251351,Miralcamp,1366,1251,1182,946,..,1393,
430846,Miravet,740,665,663,459,..,759,
081385,Moià,5495,4720,4827,3831,..,5510,
430859,"Molar, el",280,264,269,201,..,288,
081234,Molins de Rei,23425,19680,20168,15611,551,23976,
251370,Mollerussa,13657,10746,11279,8449,609,14266,
171061,Mollet de Peralada,165,138,149,87,..,173,
081249,Mollet del Vallès,47580,34262,37937,26264,3105,50685,
171077,Molló,329,312,303,220,..,333,
251364,"Molsosa, la",115,115,111,87,0,115,
081287,Monistrol de Calders,660,591,598,470,..,676,
081271,Monistrol de Montserrat,2745,2435,2399,1789,..,2843,
171096,Montagut i Oix,930,874,880,644,..,939,
430862,Montblanc,6956,5884,5994,4962,245,7201,
430884,Montbrió del Camp,2402,2222,2159,1770,0,2402,
081252,Montcada i Reixac,31421,22628,25179,16784,2074,33494,
081304,Montclar,116,115,106,96,0,116,
251399,Montellà i Martinet,659,604,624,450,..,667,
081311,Montesquiu,864,762,746,630,..,873,
251403,Montferrer i Castellbò,957,890,906,732,0,957,
430897,Montferri,369,300,317,222,..,375,
251386,Montgai,694,651,656,482,0,694,
081265,Montgat,10340,8484,8877,6295,194,10534,
081326,Montmajor,445,417,396,316,..,462,
081332,Montmaneu,174,159,158,118,..,184,
430901,"Montmell, el",1417,1092,1214,811,61,1478,
081350,Montmeló,8208,6066,6639,4524,407,8615,
251425,Montoliu de Lleida,503,467,450,349,..,505,
251410,Montoliu de Segarra,186,167,165,104,..,189,
251431,Montornès de Segarra,90,87,87,51,..,91,
081363,Montornès del Vallès,14386,10194,11078,7760,1435,15821,
430918,Mont-ral,158,148,141,108,..,160,
171100,Mont-ras,1727,1484,1537,1169,67,1794,
430923,Mont-roig del Camp,10685,7473,8490,6184,1463,12147,
081379,Montseny,298,274,276,223,0,298,
430939,Móra d'Ebre,5204,4585,4433,3155,..,5446,
430944,Móra la Nova,2815,2384,2404,1724,326,3141,
430957,"Morell, el",3261,2741,2850,2194,..,3364,
430960,"Morera de Montsant, la",156,135,141,114,..,156,
081290,Muntanyola,576,529,512,444,0,576,
081398,Mura,222,211,211,173,0,222,
251459,Nalec,89,85,84,72,..,91,
250254,Naut Aran,1616,1241,1399,922,..,1668,
081402,Navarcles,5697,4839,4913,3610,123,5820,
