Població de 16 anys i més segons nivell d'instrucció
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
.. Informació no disponible. Vegeu metodologia.

"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
 
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=15&by=mun
Codi,Literal,No sap llegir o escriure,Sense estudis,Educació primària,ESO,Batxillerat superior,FP grau mitjà,FP grau superior,Diplomatura,Grau universitari,Llicenciatura i doctorat,Total
081751,Puig-reig,..,327,475,1460,333,258,270,158,..,248,3609,
251826,Puigverd de Lleida,..,46,202,462,96,120,67,80,..,73,1158,
171426,Quart,..,153,292,657,341,257,269,273,..,318,2627,
431233,Reus,2075,7399,12305,26522,9596,6579,6306,5348,1490,7380,85001,
431251,Riba-roja d'Ebre,..,160,235,326,65,83,133,76,..,..,1162,
171450,Ribes de Freser,..,163,270,452,144,154,166,96,..,130,1620,
171463,Riells i Viabrea,..,153,474,1051,396,349,253,197,..,197,3136,
431264,"Riera de Gaià, la",..,84,166,396,125,119,157,90,..,87,1322,
171479,Ripoll,170,841,1741,3079,948,835,561,454,156,525,9311,
081803,Ripollet,1106,2963,3942,10151,3346,2317,2646,1250,296,1866,29883,
171485,Riudarenes,..,128,262,792,160,157,..,90,..,76,1792,
431270,Riudecanyes,..,77,137,251,146,74,54,86,..,83,935,
431286,Riudecols,..,51,220,388,116,97,98,59,..,55,1094,
171501,Riudellots de la Selva,..,106,244,540,205,115,122,162,..,128,1660,
431299,Riudoms,130,670,824,1765,464,284,389,296,155,268,5243,
081810,"Roca del Vallès, la",..,660,911,2293,1002,628,863,539,..,1088,8080,
431310,Roda de Berà,124,404,789,1770,575,522,340,286,..,155,5066,
081831,Roda de Ter,..,317,798,2118,400,447,311,234,..,229,5065,
431331,Roquetes,192,728,1195,2087,624,639,456,495,130,290,6837,
171523,Roses,268,1310,2276,5276,2892,1067,705,730,466,1017,16006,
251898,Rosselló,..,157,287,939,310,149,149,195,..,161,2430,
081846,Rubí,1372,5455,7021,20020,7846,5117,5177,3238,977,4118,60341,
081878,Sabadell,3006,17393,23419,48526,23642,11242,11935,11022,3324,16969,170477,
081918,Sallent,151,509,867,2125,517,476,539,253,..,313,5815,
439057,Salou,..,787,1937,5886,4433,1781,1596,2350,946,2394,22253,
171557,Salt,951,2567,4569,7103,3265,1028,714,765,633,1319,22913,
081944,Sant Adrià de Besòs,718,2991,4758,8239,2944,2025,2204,1417,551,2022,27869,
081960,Sant Andreu de la Barca,557,2108,2539,7118,2255,2068,2210,1156,153,1040,21206,
081976,Sant Andreu de Llavaneres,..,372,662,2181,1460,353,518,840,436,1419,8333,
081982,Sant Antoni de Vilamajor,..,207,536,1260,618,359,496,355,129,437,4457,
082009,Sant Boi de Llobregat,1624,7446,8454,21763,7593,6232,6638,3067,698,4243,67759,
431362,Sant Carles de la Ràpita,..,1081,1802,4154,1451,868,1186,925,..,724,12467,
082037,Sant Cebrià de Vallalta,..,127,299,690,370,291,294,142,..,458,2726,
082021,Sant Celoni,137,1498,2106,4630,1576,669,936,1100,297,947,13896,
082042,Sant Climent de Llobregat,..,156,266,944,326,382,396,260,77,255,3097,
082055,Sant Cugat del Vallès,501,2157,3695,10186,11225,3075,4236,6995,3107,20166,65343,
082074,Sant Esteve de Palautordera,..,94,156,478,356,150,151,248,..,232,1942,
082080,Sant Esteve Sesrovires,..,649,483,1022,542,262,437,320,92,385,4341,
082107,Sant Feliu de Codines,..,262,761,1502,651,326,497,277,140,427,4861,
171609,Sant Feliu de Guíxols,346,1496,3564,6472,2354,829,784,860,478,1001,18185,
082114,Sant Feliu de Llobregat,532,2813,4076,9805,4955,2811,3042,2443,793,3876,35146,
171616,Sant Feliu de Pallerols,..,89,255,319,125,44,45,71,..,126,1087,
082093,Sant Fost de Campsentelles,..,459,817,2095,877,561,608,481,158,569,6688,
082135,Sant Fruitós de Bages,..,369,847,2128,975,531,573,393,..,719,6653,
